id,source,image_path,question,answer,chart_type,task_type,difficulty,verified,split,notes
syn_bar_0001__q2,synthetic,gold/images/syn_bar_0001.png,Which segment had the highest revenue?,Enterprise,bar,max_min,easy,true,train,annotated bars; correct-by-construction; style=neutral
syn_bar_0001__q3,synthetic,gold/images/syn_bar_0001.png,How much more revenue did Consumer generate than Education?,$2400,bar,delta_absolute,medium,true,train,annotated bars; correct-by-construction; style=neutral
syn_bar_0001__q4,synthetic,gold/images/syn_bar_0001.png,Rank the top 3 segments by revenue.,"Enterprise, Consumer, SMB",bar,rank_order,medium,true,train,annotated bars; correct-by-construction; style=neutral
syn_bar_0002__q2,synthetic,gold/images/syn_bar_0002.png,Which product line made the least revenue?,Basic,bar,max_min,easy,true,train,annotated bars; correct-by-construction; style=editorial
syn_bar_0002__q3,synthetic,gold/images/syn_bar_0002.png,What was the revenue difference between Ultimate and Standard?,$1300,bar,delta_absolute,medium,true,train,annotated bars; correct-by-construction; style=editorial
syn_bar_0003__q1,synthetic,gold/images/syn_bar_0003.png,How much revenue did APAC generate?,$4400,bar,lookup_value,easy,true,train,annotated bars; correct-by-construction; style=salmon
syn_bar_0003__q3,synthetic,gold/images/syn_bar_0003.png,By how much does NA's revenue exceed APAC's?,$800,bar,delta_absolute,medium,true,train,annotated bars; correct-by-construction; style=salmon
syn_bar_0005__q3,synthetic,gold/images/syn_bar_0005.png,How many more units did Widget B sell than Widget A?,2200,bar,delta_absolute,medium,true,train,annotated bars; correct-by-construction; style=minimal
syn_bar_0006__q3,synthetic,gold/images/syn_bar_0006.png,What was the unit sales difference between SKU-105 and SKU-102?,530,bar,delta_absolute,medium,true,train,annotated bars; correct-by-construction; style=dense
syn_bar_0101__q3,synthetic,gold/images/syn_bar_0101.png,By how much does Reseller's revenue exceed Retail's?,$3400,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=1); style=academic"
syn_bar_0102__q4,synthetic,gold/images/syn_bar_0102.png,Rank the bottom 3 segments by revenue.,"Education, Enterprise, Startup",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=2); style=pastel"
syn_bar_0104__q2,synthetic,gold/images/syn_bar_0104.png,Which product led in units sold?,Widget D,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=4); style=neutral"
syn_bar_0104__q3,synthetic,gold/images/syn_bar_0104.png,By how many units does Widget D exceed Widget C?,500,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=4); style=neutral"
syn_bar_0104__q4,synthetic,gold/images/syn_bar_0104.png,Name the top 3 products in units sold.,"Widget D, Widget C, Widget A",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=4); style=neutral"
syn_bar_0105__q2,synthetic,gold/images/syn_bar_0105.png,Which SKU sold the fewest units?,SKU-207,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=5); style=editorial"
syn_bar_0105__q3,synthetic,gold/images/syn_bar_0105.png,How many more units did SKU-208 sell than SKU-207?,1300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=5); style=editorial"
syn_bar_0106__q1,synthetic,gold/images/syn_bar_0106.png,How much revenue did Energy generate?,$9500,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=6); style=salmon"
syn_bar_0106__q3,synthetic,gold/images/syn_bar_0106.png,By how much does Finance's revenue exceed Media's?,$1300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=6); style=salmon"
syn_bar_0106__q4,synthetic,gold/images/syn_bar_0106.png,Name the bottom 3 verticals in revenue.,"Automotive, Media, Finance",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=6); style=salmon"
syn_bar_0107__q1,synthetic,gold/images/syn_bar_0107.png,What was Reseller's revenue?,$14300,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=7); style=spreadsheet"
syn_bar_0107__q3,synthetic,gold/images/syn_bar_0107.png,How much more revenue did Direct generate than Online?,$5400,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=7); style=spreadsheet"
syn_bar_0108__q1,synthetic,gold/images/syn_bar_0108.png,Revenue for SMB?,$6100,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=8); style=minimal"
syn_bar_0108__q3,synthetic,gold/images/syn_bar_0108.png,What was the revenue difference between Nonprofit and SMB?,$2200,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=8); style=minimal"
syn_bar_0108__q4,synthetic,gold/images/syn_bar_0108.png,List the top 3 segments by revenue.,"Government, Nonprofit, Mid-Market",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=8); style=minimal"
syn_bar_0109__q1,synthetic,gold/images/syn_bar_0109.png,How much revenue did Omega generate?,$9200,bar,lookup_value,easy,true,train,"annotated bars; procedural gen (seed=42, idx=9); style=dense"
syn_bar_0109__q3,synthetic,gold/images/syn_bar_0109.png,By how much does Omega's revenue exceed Theta's?,$7100,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=9); style=dense"
syn_bar_0110__q2,synthetic,gold/images/syn_bar_0110.png,Which product had the highest unit sales?,Widget F,bar,max_min,easy,true,train,"annotated bars; procedural gen (seed=42, idx=10); style=dark"
syn_bar_0110__q3,synthetic,gold/images/syn_bar_0110.png,What was the unit sales difference between Widget C and Gizmo X?,2000,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=10); style=dark"
syn_bar_0111__q3,synthetic,gold/images/syn_bar_0111.png,By how many units does SKU-202 exceed SKU-207?,200,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=11); style=academic"
syn_bar_0112__q3,synthetic,gold/images/syn_bar_0112.png,How much more revenue did Energy generate than Healthcare?,$7300,bar,delta_absolute,medium,true,train,"annotated bars; procedural gen (seed=42, idx=12); style=pastel"
syn_bar_0112__q4,synthetic,gold/images/syn_bar_0112.png,Rank the top 3 verticals by revenue.,"Energy, Retail, Manufacturing",bar,rank_order,medium,true,train,"annotated bars; procedural gen (seed=42, idx=12); style=pastel"
syn_bar_0112__q5,synthetic,gold/images/syn_bar_0112.png,Would Manufacturing and Healthcare combined exceed Automotive's revenue?,Yes,bar,hard_multi_step,hard,true,train,"annotated bars; procedural gen (seed=42, idx=12); style=pastel"
