question,answer,enhanced_prompt,enhanced_completion,chart_type,difficulty,id,notes,original_image,source,split,task_type,verified
What was the revenue in Feb?,$8100,"Provide your response to the following prompt:

<prompt>
Based on the provided line chart titled 'Revenue by Month — H1 2024', identify the revenue value for February. The chart displays monthly revenue in dollars from January to June, with labeled data points for each month. Specifically, locate the data point corresponding to 'Feb' on the x-axis and report the exact dollar amount shown above that point.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with a keen eye for detail. You specialize in extracting and interpreting quantitative information from visual charts and graphs to provide accurate business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$8100,line,easy,syn_line_0168__q1,"annotated line; procedural gen (seed=43, idx=68, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0168.png,synthetic,train,lookup_value,true
By what percent did revenue change from Sep to Nov?,19.0%,"Provide your response to the following prompt:

<prompt>
Using the provided chart titled 'Monthly Revenue — H2 2024', calculate the percentage change in revenue from September to November. Show your work by identifying the revenue values for both months and applying the percentage change formula.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with a background in business intelligence. You are skilled at extracting numerical values from visual charts and performing precise percentage change calculations to provide actionable financial insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","September: $5800, November: $6900  
Percentage Change = ((6900 - 5800) / 5800) × 100 = 18.97%",line,medium,syn_line_0152__q4,"annotated line; procedural gen (seed=43, idx=52, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0152.png,synthetic,train,percent_change_ratio,true
How many billion additional persons are needed for Healthier populations to meet 2030 expectations?,1.5B,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'Figure 3.3 Progress needed to achieve the Triple Billion and 2030 global targets', determine the value representing the additional contributions needed for 'Healthier populations' to meet the 2030 expectations. Specifically, identify the numerical value associated with the blue bar segment labeled 'Additional contributions needed to meet 2030 expectations' for the 'Healthier populations' category.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a public health data analyst expert in interpreting complex infographics and global health metrics. You have extensive experience reading WHO-style reports and translating visual data into quantitative insights. You are ideally placed to answer because you can accurately map legend categories to chart elements to extract specific values. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",1.38,stacked_bar,medium,hs_0021__q2,hardset; WHO; charts20.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0021.png,hardset,train,lookup_value,true
What was Q4's total revenue?,$6500,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'Revenue by Quarter and Channel', calculate the total revenue for Q4 by summing the values of all revenue channels (Direct, Partner, and Marketplace) for that quarter.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a business data analyst specializing in financial reporting. You have a keen eye for interpreting stacked bar charts and performing quick quantitative aggregations to derive business insights from visual data. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$5700,stacked_bar,medium,syn_stacked_0197__q3,"annotated stacked bars; procedural gen (seed=45, idx=97)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0197.png,synthetic,train,aggregation_sum_avg,true
How much revenue did Tech generate?,$2000,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'FY2025 Revenue by Vertical', identify the revenue generated by the 'Tech' vertical. The chart displays revenue in dollars ($) for four categories: Manufacturing, Tech, Media, and Automotive. Specifically, locate the bar labeled 'Tech' and report the exact revenue value shown above it.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a business data analyst experienced in interpreting corporate financial reports. You possess a keen eye for extracting specific metrics from charts and visualizations to provide accurate business intelligence. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$2000,bar,easy,syn_bar_0196__q1,"annotated bars; procedural gen (seed=42, idx=96)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0196.png,synthetic,train,lookup_value,true
Did the Q1-to-Q2 change exceed the Q3-to-Q4 change?,No,"Provide your response to the following prompt:

<prompt>
Analyze the provided chart titled ""Quarterly Revenue — FY23"" to determine if the revenue change from Q1 to Q2 exceeded the revenue change from Q3 to Q4.

Please follow these steps:
1. Extract the specific revenue values for Q1, Q2, Q3, and Q4 from the chart.
2. Calculate the absolute difference in revenue between Q1 and Q2.
3. Calculate the absolute difference in revenue between Q3 and Q4.
4. Compare the two calculated differences.
5. Provide a final answer stating whether the Q1-to-Q2 change was greater than the Q3-to-Q4 change.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a business data analyst experienced in financial reporting. You are skilled at interpreting line charts and performing quantitative comparisons of revenue trends. Your expertise allows you to accurately calculate delta changes between fiscal quarters to provide precise business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Yes,line,hard,syn_line_0109__q5,"annotated line; procedural gen (seed=43, idx=9, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0109.png,synthetic,train,hard_multi_step,true
"Together, would Omega and Gamma out-earn Delta?",Yes,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'Monthly Revenue by Team', determine whether the combined monthly revenue of Team Omega and Team Gamma exceeds the monthly revenue of Team Delta. Please show your calculation by summing the values for Omega and Gamma, then comparing that total to Delta's value.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in data storytelling. You specialize in interpreting visual data from charts to provide actionable financial insights and performing quick quantitative comparisons to support business decision-making. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Yes,bar,hard,syn_bar_0127__q5,"annotated bars; procedural gen (seed=42, idx=27)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0127.png,synthetic,train,hard_multi_step,true
"Between Startup in 2023 and Education in 2024, was the former higher?",No,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled '2023-2024 Revenue by Segment', compare the revenue figures for the following two data points:

1. The 'Startup' segment in 2023.
2. The 'Education' segment in 2024.

Determine if the revenue for the Startup segment in 2023 was higher than the revenue for the Education segment in 2024. Provide a clear 'Yes' or 'No' answer supported by the specific values shown in the chart.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst experienced in interpreting business intelligence dashboards. You possess a keen eye for detail in reading chart labels and comparing quantitative values across different time periods and categories to provide accurate financial insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",No,grouped_bar,hard,syn_grouped_0100__q4,"annotated grouped bars; procedural gen (seed=44, idx=0)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0100.png,synthetic,train,hard_multi_step,true
"From Q1 to Q2, did revenue increase or decrease?",Decreased,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'FY25 Quarterly Revenue', determine whether revenue increased or decreased from Q1 to Q2. Support your answer with the specific revenue values shown for each quarter.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with expertise in financial reporting. You are skilled at interpreting line charts and quantitative trends to provide accurate business insights. Your sensibility is precise and detail-oriented, ensuring that data points are correctly compared to determine growth or decline. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","Decreased, $43600 to $41200",line,easy,syn_line_0133__q3,"annotated line; procedural gen (seed=43, idx=33, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0133.png,synthetic,train,trend_direction,true
Was APAC's revenue share greater than NA's?,Yes,"Provide your response to the following prompt:

<prompt>
Based on the provided pie chart titled 'Regional Revenue Share', determine whether the APAC region's revenue share percentage is greater than the NA region's revenue share percentage. Please compare the values labeled 'APAC' and 'NA' to answer the question.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with expertise in business intelligence. You excel at interpreting visual data representations, such as pie charts, to extract specific metrics and perform comparative analysis for corporate reporting. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Yes,pie,medium,syn_pie_0147__q3,"annotated pie; procedural gen (seed=46, idx=47)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0147.png,synthetic,train,compare_categories,true
