question,answer,enhanced_prompt,enhanced_completion,chart_type,difficulty,id,notes,original_image,source,split,task_type,verified
How much Basic revenue did Government contribute?,$1900,,"From the stacked bar chart, under the **Government** segment:

- The **Basic** tier (blue) is at the bottom of the stack.
- The value labeled on that blue portion is **$1900**.

✅ So, **Government contributed $1900 in Basic revenue**.",stacked_bar,medium,syn_stacked_0163__q1,"annotated stacked bars; procedural gen (seed=45, idx=63)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0163.png,synthetic,train,lookup_value,true
List the bottom 3 departments by share of budget.,"Engineering, IT, Sales",,"Based on the donut chart “Budget by Department”, here are the departments ranked by their share of budget (from smallest to largest):

1. **Engineering** – 4.9%  
2. **IT** – 12.7%  
3. **Sales** – 16.7%

---

✅ **Bottom 3 departments by share of budget:**

- **Engineering (4.9%)**
- **IT (12.7%)**
- **Sales (16.7%)**

*(Note: Marketing is the largest at 39.2%, and Operations is second at 26.5%.)*",donut,medium,syn_donut_0100__q4,"annotated donut; procedural gen (seed=46, idx=94)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_donut_0100.png,synthetic,train,rank_order,true
Name the top 3 segments in revenue.,"Education, SMB, Enterprise",,"Based on the bar chart “H1 Revenue by Segment”, here are the top 3 segments by revenue:

1. **Education** — $9,700  
2. **SMB** — $8,100  
3. **Enterprise** — $7,100

These are the three highest-revenue segments in descending order.",bar,medium,syn_bar_0168__q4,"annotated bars; procedural gen (seed=42, idx=68)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0168.png,synthetic,train,rank_order,true
Which region led in total revenue?,LATAM,,"Looking at the stacked bar chart titled **“Regional Revenue by Product”**, we can determine which region led in total revenue by summing the values of all product tiers (Basic, Pro, Premium) for each region.

Let’s calculate total revenue per region:

---

**NA:**
- Basic: $2400
- Pro: $600 (since 3000 - 2400 = 600? Wait — actually, looking at the chart, the green segment is labeled $1500, orange is not labeled but from context: total NA bar reaches ~4500. Let’s use the labeled values only.)

Actually, the chart labels the segments directly:

- **NA**:  
  - Basic: $2400  
  - Pro: ? → The orange segment isn’t labeled, but the green (Premium) is $1500, and total height is ~4500. So Pro = 4500 - 2400 - 1500 = **$600**  
  → Total NA = 2400 + 600 + 1500 = **$4500**

Wait — let’s re-express using only explicitly labeled values where possible, or infer from stack heights.

Actually, looking again:

The chart has **labeled values inside each colored segment**:

- **NA**:  
  - Blue (Basic): $2400  
  - Orange (Pro): *not labeled* — but visually between 2400 and 3000? Actually, the green segment starts at ~3000 and goes to 4500, labeled $1500 → so Pro must be 3000 - 2400 = **$600**  
  → Total = 2400 + 600 + 1500 = **$4500**

But wait — perhaps the labels are meant to represent the value of that segment. Let’s check other regions.

- **EMEA**:  
  - Basic: $3200  
  - Pro: $1500  
  - Premium: $1400  
  → Total = 3200 + 1500 + 1400 = **$6100**

- **APAC**:  
  - Basic: $700  
  - Pro: $800  
  - Premium: $3200  
  → Total = 700 + 800 + 3200 = **$4700**

- **LATAM**:  
  - Basic: $2000  
  - Pro: $3100  
  - Premium: $2700  
  → Total = 2000 + 3100 + 2700 = **$7800**

---

✅ So totals:

- NA: $4500  
- EMEA: $6100  
- APAC: $4700  
- LATAM: **$7800**

---

### ✅ Answer: **LATAM** led in total revenue with **$7800**.",stacked_bar,medium,syn_stacked_0141__q2,"annotated stacked bars; procedural gen (seed=45, idx=41)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0141.png,synthetic,train,max_min,true
Name the bottom 3 segments in total revenue.,"Enterprise, Education, Consumer",,"To determine the **bottom 3 segments in total revenue**, we need to sum the revenue across all tiers (Basic, Pro, Premium) for each segment.

Let’s calculate total revenue per segment:

---

**1. Education:**
- Basic: $2000
- Pro: $2100
- Premium: $2300  
→ **Total = 2000 + 2100 + 2300 = $6400**

**2. Enterprise:**
- Basic: $2600
- Pro: $700
- Premium: $900  
→ **Total = 2600 + 700 + 900 = $4200**

**3. SMB:**
- Basic: $1600
- Pro: $3400
- Premium: $3400  
→ **Total = 1600 + 3400 + 3400 = $8400**

**4. Consumer:**
- Basic: $2700
- Pro: $1800
- Premium: $2900  
→ **Total = 2700 + 1800 + 2900 = $7400**

**5. Government:**
- Basic: $1900
- Pro: $3200
- Premium: $3300  
→ **Total = 1900 + 3200 + 3300 = $8400**

---

Now, list total revenues:

- SMB: $8400
- Government: $8400
- Consumer: $7400
- Education: $6400
- Enterprise: $4200

---

**Bottom 3 segments by total revenue:**

1. **Enterprise** ($4200)
2. **Education** ($6400)
3. **Consumer** ($7400)

*(Note: SMB and Government are tied at $8400 — both higher than Consumer, so they are not in bottom 3.)*

---

✅ **Final Answer: Enterprise, Education, Consumer**",stacked_bar,medium,syn_stacked_0130__q4,"annotated stacked bars; procedural gen (seed=45, idx=30)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0130.png,synthetic,train,rank_order,true
What is the lowest metropolitan area unemployment rate category shown?,3.5% and below,,"The lowest metropolitan area unemployment rate category shown in the map is:

**3.5% and below**

This is indicated by the lightest shade of blue in the legend, which corresponds to the lowest unemployment rate bracket for June 2026 (not seasonally adjusted).",mixed,medium,hs_0038__q2,hardset; BLS; charts39.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0038.png,hardset,train,lookup_value,true
How many signups were there in W8?,700,,"Based on the provided line chart titled **""Weekly Signups — Q3""**, we can determine the number of signups for Week 8 (W8) by locating W8 on the horizontal axis and reading the corresponding value on the vertical axis.

- The x-axis shows weeks from W1 to W8.
- The y-axis shows the number of signups, ranging from 400 to 900.
- Each data point is labeled with its exact value.

Looking at **W8**:
- The orange line ends at W8.
- The label directly above the W8 data point reads **700**.

---

✅ Therefore, the number of signups in W8 was **700**.",line,easy,syn_line_0199__q1,"annotated line; procedural gen (seed=43, idx=99, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0199.png,synthetic,train,lookup_value,true
What percentage of sales came from Hardware?,11.9%,,"Based on the provided pie chart titled ""Sales Mix"", we can determine the percentage of sales that came from Hardware.

By locating the slice labeled ""Hardware"" in the chart, we can see the corresponding percentage value written inside that slice.

The value shown for the Hardware segment is $11.9\%$.

---

Therefore, $11.9\%$ of sales came from Hardware.",pie,easy,syn_pie_0106__q1,"annotated pie; procedural gen (seed=46, idx=6)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0106.png,synthetic,train,lookup_value,true
What was the fasting glucose for Ages 60 to 79 in 2024?,6.0,,"Based on the provided bar chart titled **“Glucose (mmol/L), fasting of household population”**, we can determine the value for **Ages 60 to 79 in 2024**.

### Steps:
1. Locate the group of bars for the year **2024** (far right).
2. Identify the bar corresponding to **Ages 60 to 79** — according to the legend, this is represented by the **darkest green/black bar** (solid circle symbol).
3. Read the value labeled on top of that bar.

In the 2024 group, the darkest bar (Ages 60–79) has the value **6.0** written above it.

---

✅ **Answer: 6.0 mmol/L**",grouped_bar,medium,hs_0006__q1,hardset; StatCan; charts4.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0006.png,hardset,train,lookup_value,true
What share of spend did Paid Search represent?,15.2%,,"Based on the provided pie chart titled **""Marketing Spend by Channel""**, we can identify the share of spend for each channel.

Looking at the red segment labeled **""Paid Search""**, the percentage value displayed within that segment is:

> **15.2%**

---

✅ Therefore, **Paid Search represented 15.2%** of the total marketing spend.",pie,easy,syn_pie_0170__q1,"annotated pie; procedural gen (seed=46, idx=70)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0170.png,synthetic,train,lookup_value,true
How much total revenue did EMEA generate?,$6700,,"To calculate the **total revenue for EMEA**, we sum the revenues from each product tier in that region:

- **Basic**: $2300  
- **Pro**: $2000  
- **Premium**: $2400  

**Total = 2300 + 2000 + 2400 = $6700**

✅ So, **EMEA generated $6,700 in total revenue**.",stacked_bar,medium,syn_stacked_0102__q3,"annotated stacked bars; procedural gen (seed=45, idx=2)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0102.png,synthetic,train,aggregation_sum_avg,true
What was the approximate peak civilian unemployment rate during 2020?,14.8,,"Based on the provided line chart titled **“Civilian unemployment rate, seasonally adjusted”**, we can observe the following:

- The vertical axis represents the **unemployment rate in percent**, ranging from 2.0% to 16.0%.
- The horizontal axis shows time from **June 2006 to June 2026**.
- There is a dramatic spike in the unemployment rate around **June 2020**, which corresponds to the economic impact of the pandemic.
- The red line (Total) peaks sharply at that point.

Looking closely at the peak in **mid-2020**, the line reaches just below the **15.0%** mark — approximately **14.8%** or **14.9%**.

> ✅ **Answer: Approximately 14.8%**

*(Note: Official U.S. Bureau of Labor Statistics data confirms the seasonally adjusted civilian unemployment rate peaked at **14.8% in April 2020**, which aligns with this chart’s visual representation.)*",line,medium,hs_0039__q2,hardset; BLS; charts40.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0039.png,hardset,train,lookup_value,true
"In the WHO region panel, what is the approximate value of the rightmost data point on the x-axis?",4.5,,"Looking at the **left panel** (“By WHO region”) of Figure 1.10:

- The **x-axis** is labeled: *Observed annualized rate of reduction 2000–2019 (%)*
- The **rightmost data point** on the x-axis appears to be a **green circle**, which according to the legend corresponds to the **Western Pacific Region**.
- Visually, this point lies just beyond the 4.5 mark on the x-axis — approximately at **4.6% or 4.7%**.

However, since the axis only goes up to 4.5 and the point is very close to the edge, and given typical graph scaling, it’s reasonable to estimate it as **approximately 4.6%**.

But let’s check more carefully:  
The grid lines are at 0.5 intervals. The rightmost green dot is clearly past 4.5 — about halfway between 4.5 and 5.0? Actually, no — looking closely, the axis ends at 4.5, and the point is just slightly beyond that. In many such graphs, points may extend slightly beyond the labeled axis for clarity.

Given the scale and position, a safe approximation is:

> **Approximately 4.6%**

---

✅ Final Answer: **4.6**",mixed,hard,hs_0024__q1,hardset; WHO; charts23.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0024.png,hardset,train,max_min,true
How many more units did SKU-208 sell than SKU-207?,1300,,"To find how many more units **SKU-208** sold than **SKU-207**, we subtract the units sold by SKU-207 from those sold by SKU-208.

From the bar chart:

- **SKU-208** sold **1600** units
- **SKU-207** sold **300** units

Now calculate the difference:

**1600 - 300 = 1300**

✅ So, **SKU-208 sold 1300 more units than SKU-207**.",bar,medium,syn_bar_0105__q3,"annotated bars; procedural gen (seed=42, idx=5)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0105.png,synthetic,train,delta_absolute,true
What was Q3's total revenue?,$9400,,"To calculate **Q3's total revenue**, we sum the values of all three channels (Organic, Paid, Referral) for Q3 as shown in the stacked bar chart:

- **Organic (blue)**: $3300  
- **Paid (orange)**: $4500  
- **Referral (green)**: $1600  

Now add them up:

**$3300 + $4500 + $1600 = $9400**

---

✅ **Q3's total revenue was $9,400.**",stacked_bar,medium,syn_stacked_0170__q3,"annotated stacked bars; procedural gen (seed=45, idx=70)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0170.png,synthetic,train,aggregation_sum_avg,true
Was MEA's share of revenue larger than NA's?,No,,"No, **MEA’s share of revenue was not larger than NA’s**.

From the pie chart:

- **MEA** = **14.3%**
- **NA** = **31.4%**

Since 14.3% < 31.4%, **NA’s share is significantly larger** than MEA’s.

✅ Final Answer: **No**",pie,medium,syn_pie_0187__q3,"annotated pie; procedural gen (seed=46, idx=87)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0187.png,synthetic,train,compare_categories,true
Did revenue increase or decrease from Q1 to Q2?,Increased,,"Revenue **increased** from Q1 to Q2.

- Q1 revenue: **$16,100**
- Q2 revenue: **$17,800**

The difference is $17,800 - $16,100 = **$1,700 increase**.

This is also visually evident from the upward slope of the line between Q1 and Q2 on the chart.",line,easy,syn_line_0101__q3,"annotated line; procedural gen (seed=43, idx=1, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0101.png,synthetic,train,trend_direction,true
What was the revenue in Q1?,$26400,,"Based on the provided line chart titled **""FY21 Quarterly Revenue""**, we can determine the revenue for Q1 by looking at the data point corresponding to **Q1** on the x-axis.

- The y-axis represents **Revenue ($)**.
- The orange line connects the quarterly revenue values.
- At **Q1**, the data point is labeled with the value **$26400**.

---

✅ Therefore, the revenue in Q1 was **$26,400**.",line,easy,syn_line_0149__q1,"annotated line; procedural gen (seed=43, idx=49, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0149.png,synthetic,train,lookup_value,true
Did users increase or decrease from Aug to Sep?,Increased,,"From **August to September**, the number of **Monthly Active Users increased**.

- **August**: 23,300 users  
- **September**: 25,300 users  

That’s an increase of **2,000 users**.

✅ So, **users increased** from Aug to Sep.",line,easy,syn_line_0122__q3,"annotated line; procedural gen (seed=43, idx=22, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0122.png,synthetic,train,trend_direction,true
How much revenue did Tech generate?,$2000,,"Based on the bar chart titled **""FY2025 Revenue by Vertical""**, the revenue generated by the **Tech** vertical is clearly labeled above its corresponding bar.

The value shown for **Tech** is **$2000**.

---

✅ **Answer: $2000**",bar,easy,syn_bar_0196__q1,"annotated bars; procedural gen (seed=42, idx=96)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0196.png,synthetic,train,lookup_value,true
How much revenue was recorded in Jun?,$6300,,"Based on the line chart titled **""Monthly Revenue — H1 2025""**, the revenue recorded in **June (Jun)** is clearly labeled at the end of the line.

The value shown for June is:  
**$6,300**

---

✅ **Answer: $6,300**",line,easy,syn_line_0160__q1,"annotated line; procedural gen (seed=43, idx=60, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0160.png,synthetic,train,lookup_value,true
"For Direct, which period had higher revenue, Plan or Actual?",Plan,,"For the **Direct** channel:

- **Plan** revenue = **$4,700**
- **Actual** revenue = **$3,600**

Since **$4,700 > $3,600**, the **Plan** period had higher revenue for Direct.

✅ **Answer: Plan**",grouped_bar,medium,syn_grouped_0215__q3,"annotated grouped bars; procedural gen (seed=44, idx=115)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0215.png,synthetic,train,multi_series_compare,true
"Between Q3 and Q4, which had higher revenue for Finance?",Q4,,"Looking at the bar chart titled **“Revenue by Vertical: Q3 vs Q4”**:

- For the **Finance** vertical:
  - **Q3 revenue** (blue bar) = **$9,200**
  - **Q4 revenue** (orange bar) = **$11,800**

Since **$11,800 > $9,200**, **Q4 had higher revenue for Finance**.

✅ **Answer: Q4**",grouped_bar,medium,syn_grouped_0190__q3,"annotated grouped bars; procedural gen (seed=44, idx=90)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0190.png,synthetic,train,multi_series_compare,true
Email's share of total spend?,27.4%,,"Based on the provided pie chart titled **""Ad Spend by Channel""**, the share of total ad spend allocated to **Email** is clearly labeled.

Looking at the blue slice of the pie chart, which corresponds to ""Email"", the percentage shown is:

> **27.4%**

---

✅ Therefore, **Email's share of total spend is 27.4%**.",pie,easy,syn_pie_0135__q1,"annotated pie; procedural gen (seed=46, idx=35)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0135.png,synthetic,train,lookup_value,true
How many users were there in Dec?,22100,,"Based on the provided line chart titled **""Active Users by Month — H2 2025""**, we can determine the number of active users in December (Dec) by looking at the data point for that month.

- The x-axis shows the months from July to December.
- The y-axis represents the number of **Active users**.
- For **Dec**, the orange line ends at a labeled point showing **22100**.

---

✅ Therefore, the number of active users in **December** was **22,100**.",line,easy,syn_line_0110__q1,"annotated line; procedural gen (seed=43, idx=10, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0110.png,synthetic,train,lookup_value,true
What was Q4's total revenue?,$11200,,"To calculate **Q4's total revenue**, we sum the values of all three channels (Organic, Paid, Referral) for Q4 as shown in the stacked bar:

- **Organic (blue)**: $3600  
- **Paid (orange)**: $4000  
- **Referral (green)**: $3600  

**Total = 3600 + 4000 + 3600 = $11,200**

✅ **Answer: $11,200**",stacked_bar,medium,syn_stacked_0131__q3,"annotated stacked bars; procedural gen (seed=45, idx=31)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0131.png,synthetic,train,aggregation_sum_avg,true
"Between Aug and Sep, did revenue increase or decrease?",Decreased,,"Between **August** and **September**, revenue **decreased**.

- August revenue: **$5,500**
- September revenue: **$5,100**

This is a decrease of **$400**.

✅ So, the answer is: **Decrease**.",line,easy,syn_line_0148__q3,"annotated line; procedural gen (seed=43, idx=48, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0148.png,synthetic,train,trend_direction,true
